id_vaga,tool
29818336,GCP
29818336,PYTHON
30534681,SQL
30534681,IA
30534681,BIGQUERY
30534681,R
30534681,LOOKER
30534681,LEARNING
30534681,SAS
30534681,TABLEU
30534681,PANDAS
30534681,PYTHON
30331412,EXCEL
29791959,OPENCV
29791959,PYTHON
30426891,EXCEL
30473827,EXCEL
29923046,EXCEL
29923046,SQL
29923046,MYSQL
29923046,TABLEAU
30016076,EXCEL
30645795,QLIKVIEW
30645795,AWS
30645795,SQL
30645795,CASSANDRA
30645795,MYSQL
30645795,REDSHIFT
30645795,MONGODB
30645795,EXCEL
30645795,BIGQUERY
30645795,R
30645795,LOOKER
30645795,NOSQL
30645795,TABLEAU
30645795,PYTHON
30645795,SNOWFLAKE
29397967,AWS
29397967,SQL
29397967,IA
29397967,LEARNING
29397967,AIRFLOW
30395245,QLIKVIEW
30395245,SQL
30395245,R
30395245,TABLEAU
30395245,PYTHON
29992291,EXCEL
30639523,POWERBI
30639523,SQL
30639523,JAVASCRIPT
30639523,BIGQUERY
30639523,PYTHON
30541743,AWS
30541743,POWERBI
30541743,SQL
30541743,QLIKSENSE
30541743,EXCEL
30648647,PCA
30648647,SQL
30648647,DOMO
30648647,TABLEAU
29780125,SQL
29780125,BIGQUERY
29780125,LEARNING
29780125,API
29780125,PYTHON
30239630,EXCEL
30239630,SQL
30239630,TABLEAU
30657810,SQL
30657810,PYTHON
30134424,PYTHON
30501963,SQL
30501963,EXCEL
30501963,R
30501963,LEARNING
30501963,TABLEAU
30501963,PYTHON
30642935,SQL
30642935,MYSQL
29980904,POWERBI
29980904,SQL
29980904,GIT
29980904,EXCEL
29980904,DATABRICKS
29821384,AWS
29821384,SQL
29821384,SCALA
29821384,GCP
29821384,IA
29821384,JAVA
29821384,BIGQUERY
29821384,GENERATIVA
29821384,SPARK
29821384,PYTHON
29821384,SNOWFLAKE
29131089,EXCEL
29131089,SQL
29131089,PYTHON
30672145,EXCEL
30672145,SQL
30473923,SQL
30473923,GCP
30473923,JAVA
30473923,BIGQUERY
30473923,NOSQL
30473923,PYTHON
30211557,SQL
30211557,JAVASCRIPT
30211557,GIT
30211557,MYSQL
30211557,PYTHON
30343374,SQL
30220263,EXCEL
30528856,AZURE
30528856,PYSPARK
30528856,KUBERNETES
30528856,JAVA
30528856,SPARK
30528856,DATABRICKS
30528856,PYTHON
30212628,EXCEL
30212628,PYTHON
30487310,EXCEL
30487310,SQL
30071606,QLIK
30672409,GITHUB
30453659,EXCEL
30453659,SQL
30453659,PYTHON
30661751,AZURE
30661751,AWS
30661751,SQL
30661751,JAVASCRIPT
30661751,C#
29933630,SQL
30634002,LEARNING
30634002,IA
30212077,JAVA
30212077,EXCEL
30212077,SQL
30212077,IA
30538629,EXCEL
30662715,EXCEL
30662715,SQL
30475284,TERRAFORM
30475284,AWS
30475284,SQL
30475284,PYTHON
29778646,EXCEL
30555471,EXCEL
30555471,PYTHON
30528036,SQL
30332522,SQL
30332522,SCALA
30332522,ML
30332522,R
30332522,LEARNING
30332522,PYTHON
29910900,SQL
29910900,TABLEAU
29910900,PYTHON
29910900,R
29794630,SQL
29794630,HADOOP
29794630,CASSANDRA
29794630,SPARK
29794630,NOSQL
29794630,PYTHON
29794630,KAFKA
30131888,EXCEL
30639252,EXCEL
30639252,R
30639252,PYTHON
28974252,EXCEL
30523827,EXCEL
30523827,SQL
30523827,QLIK
29890593,EXCEL
30015874,SQL
30015874,POWERBI
30015874,ML
30015874,GIT
30015874,LEARNING
30015874,SAS
30015874,TABLEAU
30015874,PYTHON
30427254,SQL
30493121,EXCEL
30493121,SQL
30522054,EXCEL
30545670,AZURE
30545670,AWS
30545670,SQL
30545670,SPARK
30545670,LEARNING
30545670,TABLEAU
