"id_vaga","data_anuncio","titulo_vaga","titulo_resumo","faixa_salarial","empresa_contratante","estado","cidade","url","descricao","beneficios","regimeContrato"
"377268f6d813606c","2024-03-29T05:00:00Z","Especialista de Dados - Cientista de Dados e Machine Learning","machine learning specialist","R$None - R$None","ONS","","Remoto","https://br.indeed.com/rc/clk?jk=377268f6d813606c&bb=k1U4-ARdRKhVqOOPyXgteF0lBbCQu9BVqzKnyIlF2j5r5lfKuqSRnqTc8INJ2YfAW45j5H5YHlrkWGeW9aJpKSVbSKWuMyr1hCIiTvV6bJKKPK1-Wxa-GOlOZEhFtk5_&xkcb=SoBF67M36rM8xyARFj0HbzkdCdPP&fccid=8d9d8975b07ce491&vjs=3","Híbrido: Rio de Janeiro - RJ
Responsável pela execução e evolução dos processos relacionados à concepção, modelagem, desenvolvimento e manutenção das soluções de dados e analytics, visando contribuir para a evolução das capacidades de consulta, exploração e análise de dados para todo o ONS.
Atribuições e Responsabilidades:
Liderar equipes, prospectar tecnologia, identificar gaps conceber e realizar treinamentos, propor e implementar ações que visam aumentar o uso de dados e modelos de informação do ONS, por meio da identificação / desenvolvimento de soluções, oferta de ferramentas e treinamentos, que facilitem o consumo, exploração, análise de dados e ciência de dados.
Liderar equipes que atuem em ações para salvaguardar a integridade de dados e modelos de informação no ONS por meio da definição e manutenção da arquitetura de dados, da integração dos diversos repositórios de dados e da articulação entre as várias soluções de Tecnologia (aplicações, mudanças de processo, soluções de infraestrutura).
Liderar iniciativas e equipes que garantam a coesão entre as soluções de Tecnologia, por meio da validação dos modelos de dados definidos para cada solução e sua articulação com a arquitetura de dados.
Atuar na liderança para garantir a articulação da arquitetura de dados com as demais arquiteturas de Tecnologia em uma visão integrada.
Prospectar, implantar, garantir, estimular e divulgar as práticas de ciência de dados.
Garantir a construção e manutenção de repositórios de dados para consulta, exploração e análise de dados
Conceber, implantar e manter atualizado o catálogo de dados e serviços.
Contribuir na governança de dados e de produtos para consultas, exploração e análise de dados.
Estar apto a substituir o gestor nas ausências que se fizerem necessárias.
Requisitos Obrigatórios:
Conhecimento e postura estratégica
Ser capaz de representar o ONS em fóruns nacionais e internacionais
Profundo conhecimento em ciência de dados
Profundo conhecimento em processamento de dados em nuvem AWS
Python
R
Jupyter Notebook
Sólidos conhecimentos em Machine Learning
Sólidos conhecimentos em Gen IA
Visualização de dados (Power BI, Tableau, Grafana...)
Arquitetura de Dados e Informação;
Modelagem de dados transacionais e analíticos
Data Lake
Gestão de Suporte de Base de Dados;
Arquitetura de Integração de Sistemas de Dados;
Engenharia de Software;
Coleta e Análise de Dados;
Habilidades Analíticas;
Estatística.
Diferenciais:
Conhecimento da regulação e legislação do Setor Elétrico
Conhecimento em práticas ágeis aplicadas em desenvolvimento de software
Data Mesh","",""
"c4a8fac135e49e9d","2024-10-25T18:12:37Z","ANALISTA DE POWER BI PLENO","analista de bi","R$None - R$None","Engesoftware","DF","Brasília","https://br.indeed.com/rc/clk?jk=c4a8fac135e49e9d&bb=FXxwo2eKCxmld0Lji83cyDGK7TxNBE6cq0kZ8VZPDL904fphdNKvTJj-PDgIsQVJb5eWa0szcAHO03F_UFfpvG_QEUaf9mjdeblHOsAqBVcTiOeyC6sqAhNwSYpe2Exl&xkcb=SoCS67M36rM25Gy7VR0JbzkdCdPP&fccid=4e8e328d7d5719dd&cmp=ENGESOFTWARE&ti=Analista+De+Bi&vjs=3","Benefícios:
Home Office
Descontos exclusivos com instituições como (Alura, SESI, SESC, Anhanguera, Estácio etc.)
Temos acolhimento psicológico, para aquecer a mente e o coração.
Apoio jurídico, caso precise
.
VA ou VR
Plano de saúde
Plano odontológico (Bradesco Dental)
Seguro de vida (Santander zuric)
Requisitos Obrigatórios:
Conhecimento avançado em Power BI, incluindo criação de dashboards, relatórios, visualizações de dados, modelagem de dados, fórmulas DAX e transformação de dados.
Conhecimento elaboração de querys SQL
Conhecimento básico em SAS.
Experiência em levantamento de requisitos e comunicação com stakeholders.
Habilidade em storytelling para comunicar insights de dados de maneira clara.
Diferenciais
Habilidades avançadas em SQL/DB2.
Conhecimento em Power Query para transformação de dados.
Requisitos desejáveis:
Tempo de experiência mínima de 3 anos na área
Formação Exigida:
Educação Superior completo na área de TI;
Tipo de vaga: Efetivo CLT
Benefícios:
Assistência médica
Assistência odontológica
Seguro de vida
Vale-alimentação
Vale-refeição
Horário de trabalho:
De segunda à sexta-feira","",""
"e9692b69ad33cd0a","2024-10-02T19:33:57Z","ANALISTA FINANCEIRO com ênfase em conciliação bancária","analista financeiro","R$None - R$None","TERMINAL XXXIX","RJ","Rio de Janeiro","https://br.indeed.com/rc/clk?jk=e9692b69ad33cd0a&bb=Cp3AOqdzASK2yHhDK6CFweZ22CNP7kz5WqZv8Jjb0p81-1Eij0vntNMMZ8uxgBLvXd1WEOYd80q-cHz9tRDTxVcrf4usxQTpYe10zrnvKksSyo6buXg2LDwJcmGlbj9R&xkcb=SoDU67M36rM7dTyckp0KbzkdCdPP&fccid=17689a61a6dfcfa4&cmp=ALL-MOR&ti=Analista+Financeiro&vjs=3","Execução de processos relacionados as rotinas operacionais de conciliação financeira dos produtos de compensação (Cheques, DOCs, TEDs, Cobrança, Pix dentre outros);
Conciliar extratos de contas correntes das Cooperativas singulares;
Conciliar, classificar e efetuar lançamentos financeiros;
Analisar processos e fluxos existentes e auxiliar na indicação de melhorias;
Auxiliar no levantamento de informações para auditorias;
Conferência do saldo bancário de entradas e saídas, verificação de dados e valores , monitoria da entrada e saída de valores conforme extratos bancários, confronto de informações internas, registro pagamentos e recebimentos, baixa de recebimento de contas a receber, exportação e importação de arquivos, acompanhamento de tarifas bancárias e liberação de pedidos e vendas;
Experiência em factoring.
Tipo de vaga: Efetivo CLT
Pagamento: R$3.500,00 - R$4.000,00 por mês
Benefícios:
Assistência médica
Assistência odontológica
Auxílio-combustível
Convênios e descontos comerciais
Estacionamento gratuito
Seguro de vida
Vale-alimentação
Vale-refeição
Vale-transporte
Horário de trabalho:
De segunda à sexta-feira
Pagamento adicional:
13º salário
Experiência:
conciliação bancária (Obrigatório)
factoring (Obrigatório)","",""
"6f804a8ff53235fd","2024-09-17T05:00:00Z","ANALISTA DE DADOS","analista de dados","R$None - R$None","Granado - Desde 1870","RJ","Rio de Janeiro","https://br.indeed.com/rc/clk?jk=6f804a8ff53235fd&bb=k1U4-ARdRKhVqOOPyXgteKtxSw_BsQoQgE7Av7vPOzPYHgxcmelFWdIEr6mx2RMmmod0-o-0aM9PZNGi4r630l9wvfckSwDxFj3ZspPLPvuS2q9sVSA4_m1MM-Kj1Ipl&xkcb=SoBW67M36rM8xyARFj0DbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3","Granado | Phebo abre as portas para você!
Estamos em busca de um
Analista de Dados
para fazer parte da nossa equipe. Se você é uma pessoa organizada, dinâmica e comprometida, esta pode ser a oportunidade perfeita para você. Como Analista de Dados você será responsável por explorar e analisar grandes volumes de dados de diversas fontes, transformando-os em insights relevantes para o negócio.
Responsabilidades e atribuições
Explorar e analisar grandes volumes de dados de diversas fontes, transformando-os em insights relevantes para o negócio;
Desenvolver dashboards e relatórios interativos no Power BI, oferecendo visões claras e acionáveis;
Integrar dados de diferentes sistemas e plataformas, assegurando a consistência e qualidade das informações;
Auxiliar na preparação, limpeza e transformação dos dados para análise;
Colaborar com equipes de negócios para entender suas necessidades e traduzir isso em soluções analíticas eficientes;
Manter e atualizar as visualizações de dados regularmente para refletir as mudanças de negócios e novos requisitos;
Monitorar e otimizar o desempenho dos relatórios e consultas, garantindo a eficiência das entregas;
Manter a documentação de processos e fluxos de dados, garantindo a clareza na interpretação das soluções analíticas.
Requisitos e qualificações
Ensino superior completo em áreas relacionadas a dados (Estatística, Matemática, Ciência de Dados, TI ou correlatos);
Experiência com exploração e análise de dados em plataformas de dados;
Conhecimento em manipulação de dados com SQL;
Experiência com Python;
Experiência em Power BI;
Experiência com modelagem e estruturação de dados para análises;
Familiaridade com tecnologias de armazenamento de dados e integração de múltiplas fontes;
Habilidade em transformar dados brutos em insights e narrativas claras para Stakeholders;
Excelentes habilidades de comunicação e colaboração, com capacidade de traduzir necessidades de negócios em soluções analíticas;
Diferenciais:
Conhecimento de versionamento de código (Git) e boas práticas de segurança de dados;
Conhecimento em GCP;
Experiência com integrações e pipelines de dados;
Experiência com automação de processos e CI/CD para análise de dados.
Informações adicionais
Ambiente de trabalho integrado, alegre e positivo.
Horário flexível, para driblar os horários de pico!
Vale-Refeição para bater aquele papo legal e descontraído com os seus colegas enquanto degusta as iguarias.
Plano de saúde, odontológico e seguro de vida para garantir o seu bem-estar e o da sua família. Mente sã em corpo são, sempre.
Sabe todos aqueles produtos maravilhosos da Granado e da Phebo? Você poderá comprar com desconto exclusivo!
Quer se desenvolver? Nosso ambiente é um estímulo a criatividade e ao desenvolvimento. Também apoiamos o aprimoramento através do Programa de o Educação Continuada com subsídios para cursos de aperfeiçoamento, graduação, pós-graduação e idiomas.
Programa de Participação nos Resultados. Valorizamos e incentivamos o compromisso de quem constrói junto conosco!
Desde o século XIX a
Granado
atravessa gerações encantando seus consumidores com produtos de qualidade e com uma pegada sustentável. São mais de 150 anos e, desde sua fundação, a marca sempre soube manter valores sólidos e estar atenta às necessidades de seu tempo. Cresceu e rejuvenesceu sem perder a essência.
Em 1930, a
Perfumaria Phebo
foi fundada em Belém do Pará, com fragrâncias marcantes, originais e de alta qualidade. Esta tradição, aliada ao seu conhecimento, ousadia e personalidade forte, alçou a Phebo ao topo das marcas de cosméticos mais respeitadas do mercado brasileiro, tornando-se sinônimo de luxo, excelência olfativa e qualidade.
Acreditamos que o clássico não precisa ser antigo. Usamos cores vivas, fragrâncias atuais e ingredientes modernos em nossos produtos.
Nossa rica história centenária ajuda a construir um futuro inovador. Estamos presentes em cada produto desenvolvido; em cada loja inaugurada no Brasil e no exterior; em cada embalagem diferenciada e em cada olhar comprometido com o bem-estar das pessoas, com a segurança no local de trabalho e com a preservação do meio ambiente.
Excelência, legado e números expressivos resultam de equipes qualificadas, orgulhosas e apaixonadas pela nossa empresa, que, por sua vez, cuida e acolhe sem distinção.
Diariamente, somos convidados a escrever novos capítulos dessa trajetória de sucesso! Vamos juntos!","",""
"a4cd124421f65d07","2024-08-17T05:00:00Z","Engenheiro de Dados","analista de dados","R$None - R$None","#SejaSBT","","Remoto","https://br.indeed.com/rc/clk?jk=a4cd124421f65d07&bb=AEmi4PwgMpCf6KEQUoRJm_UF1KQLBNWhfqfY0hh3xxbhXT4xCSJEzdZusqbcLptQQDo_vTznywMskEWbRA529xHD4jMeOfOsGjcmNnBUL0Y8yhAHcWew5ANMjCOGbrIs&xkcb=SoAU67M36rM4DtyXDp0NbzkdCdPP&fccid=156518c455a09b47&vjs=3","O SBT busca mais um SBTista para fazer parte da família!
Aqui as oportunidades são iguais para todos!
Com forte convicção em nosso potencial quando trabalhamos juntos, estimulamos um ambiente de colaboração e parceria. Valorizamos os nossos colaboradores e prezamos pelo desenvolvimento e aprendizado de quem faz parte da emissora. Reconhecemos que cada um desempenha um papel fundamental para sermos o SBT.
Você se identifica com a oportunidade e nossa cultura? Então, ""Vem pra cá, vem pra cá""!
Responsabilidades e atribuições
Como
Engenheiro de Dados
, você vai:
Trabalhar com dados de prevenção a Fraude e Dispositivos de Segurança com o papel de disponibilização, entendimento e sustentação de tabelas e schemas;
Participar da entrega dos dados de ponta: entendimento do dado com as principais fontes (internas e externas), construção de pipelines até a camada especializada, modelagem e qualidade do dado entregue;
Participar de discussões baseadas em dados dentro da equipe e entre stakeholders;
Ser a interface entre times de Tecnologia, Engenharia e Negócio;
Documentar entregas;
Implementar melhores práticas de engenharia de dados (controle de versionamento, testes, validações, documentação de metadados e governança);
Identificar oportunidades através de validações e entendimento de dados novos que vão surgir na estrutura da empresa como um todo.
Requisitos e qualificações
Para a posição, você precisa:
Ter conhecimento em boas práticas em armazenamento de dados, processos de ETL/ELT e implementação de Data Lake;
Ter experiência com processamento distribuído;
Conhecimento em arquitetura e mapeamento/modelagem de dados;
Ter conhecimento em alguma ferramenta de gerenciamento de fluxo de trabalho, como o Airflow;
Ter conhecimentos avançados em SQL e PySpark;
Ter experiência trabalhando em uma base de código com colaboradores, de preferência com um sistema de versionamento;
Ter experiência com criação de métricas e regras de cálculos de KPIs;
Ter atuado com desenvolvimento de soluções de self-service de dados;
Conhecer provedores de arquitetura em nuvem;
Ter conhecimento em Deep Learning, Causal Analysis, NLP e Sistemas de Recomendação;
Ter atuado com modelagem (Machine Learning) na linguagem python.
Desejável inglês avançado.
Você sai na frente se tiver:
Excelentes habilidades analíticas e de gestão de tempo;
Gostar de trabalhar em equipe e apresentar habilidades de comunicação com capacidade de comunicar conceitos técnicos complexos e alinhar a organização em torno das decisões;
Iniciativa para resolução de problemas com a capacidade de processar rapidamente informações complexas e apresentá-las de forma clara e simples;
Gosto por criar soluções inovadoras de forma eficiente;
Paixão por tecnologia e entusiasmado com o impacto de tecnologias emergentes/disruptivas;
Desejo de desencadear o auto aprendizado interno e trabalhar em um ambiente que estimule mentes empreendedoras;
Direcionamento para atuar em uma cultura de total transparência e confiança;
Abertura para aprender novas ideias fora do escopo ou conhecimento;
Informações adicionais
Além de poder trabalhar na TV mais Feliz do Brasil, você vai receber:
Salário alinhado às práticas de mercado;
Vale Refeição;
Vale Alimentação;
Assistências Médica e Odontológica para você, cônjuge e filhos;
Convênio Farmácia;
Wellhub: Parceria para uma vida mais saudável;
Vale Transporte, Estacionamento e/ou Fretados disponíveis em diversas regiões;
Previdência Privada;
Seguro de Vida;
Auxílio Creche;
SESC;
Facilidades no próprio CDT como Salão de Beleza, Banco, Praça de Alimentação, Ambulatório para consultas com médicos de diversas especialidades, além de poder realizar alguns exames clínicos;
Programas de apoio psicológico, nutricional e ergonomia;
Treinamentos, lives e outros conteúdos para turbinar o conhecimento;
Acesso ao Clube SBT, com descontos em produtos, lazer, cursos, etc.
Em 19 de agosto de 1981, foi inaugurado o Sistema Brasileiro de Televisão, o SBT. Considerado o canal da família brasileira, o SBT cobre mais de 187 milhões de telespectadores e 66,7 milhões de lares
Atualmente conta com 118 emissoras em todo país, com 24 horas de programação diversificada, com participação de 9,2% na Grande São Paulo e e 8,1% nas Regiões Metropolitanas.
O complexo do SBT em São Paulo, tem uma área total de 230.000m² com 74.000m² de área construída. Conta com oito estúdios, somando uma área de mais de 4.400 m² e uma cidade cenográfica de 6.500 m².
O SBT é sucesso consolidado em programas de auditório, referência na produção de conteúdo infanto-juvenil, conta com jornalismo imparcial e de credibilidade, além de forte presença no digital, com conteúdos exclusivos. Estamos em constante evolução, reafirmando, cada vez mais, o nosso espaço no ambiente digital, com projetos modernos como SBT Games, TV Zyn, SBT Vídeos, SBT Ads, SBT do Bem, SBT News e diversos podcasts. Estas inovações tornam o SBT uma produtora de conteúdo relevante e confiável para os espectadores em qualquer tela.
Cerca de 3 mil colaboradores por todo o Brasil fazem essa história acontecer todos os dias, vivendo os nossos pilares em um ambiente familiar e divertido.
Fonte: Atlas de Cobertura SBT - Fev/24 | Kantar IBOPE Media - Instar Analytics - Dados Domiciliares - SHR% Total Ligados - Grande São Paulo e Regiões Metropolitanas (15 mercados) - 24 horas - Jan a Dez/23
#SejaSBT","",""
